"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"Eastern Mediterranean"," 1999","3.96 [3.49-4.48]","46 850 [41 534-52 880]","25 624 [22 711-28 944]","21 226 [18 681-24 155]"
"Eastern Mediterranean"," 1998","4.14 [3.63-4.72]","47 974 [42 599-54 528]","26 131 [23 210-29 682]","21 843 [19 270-25 024]"
"Eastern Mediterranean"," 1997","4.19 [3.7-4.8]","47 630 [42 501-54 411]","26 023 [23 215-29 723]","21 607 [19 157-24 865]"
"Eastern Mediterranean"," 1996","4.32 [3.8-4.99]","47 887 [42 618-55 270]","26 125 [23 237-30 110]","21 762 [19 250-25 291]"
"Eastern Mediterranean"," 1995","4.46 [3.91-5.21]","47 950 [42 371-55 982]","26 174 [23 105-30 491]","21 776 [19 117-25 576]"
"Eastern Mediterranean"," 1994","4.6 [4.03-5.43]","47 765 [42 170-56 250]","26 059 [22 999-30 646]","21 706 [19 032-25 764]"
"Eastern Mediterranean"," 1993","4.75 [4.16-5.63]","47 168 [41 733-55 931]","25 711 [22 726-30 410]","21 457 [18 862-25 589]"
"Eastern Mediterranean"," 1992","4.91 [4.3-5.81]","46 656 [41 401-54 999]","25 446 [22 576-29 981]","21 210 [18 704-25 197]"
"Eastern Mediterranean"," 1991","5.08 [4.45-6.01]","46 547 [41 246-55 083]","25 364 [22 462-29 919]","21 183 [18 712-25 294]"
"Eastern Mediterranean"," 1990","5.75 [5.0-6.84]","50 681 [44 469-60 751]","27 177 [23 856-32 473]","23 504 [20 497-28 360]"
"Western Pacific"," 2021","","27 069 [19 597-41 080]","17 325 [12 325-26 561]","9 744 [7 107-14 710]"
